recId	osmStatus	dcsStatus
HAO-000-000-000-102	Unpublished	Final
HAO-000-000-000-103	Unpublished	Final
HAO-000-000-000-104	Unpublished	Final
HAO-000-000-000-105	Unpublished	Final
HAO-000-000-000-106	Unpublished	Final
HAO-000-000-000-107	Unpublished	Final
HAO-000-000-000-108	Unpublished	Final
HAO-000-000-000-109	Unpublished	Final
HAO-000-000-000-110	Unpublished	Final
HAO-000-000-000-111	Unpublished	Final
HAO-000-000-000-112	Unpublished	Final
HAO-000-000-000-113	Unpublished	Final
HAO-000-000-000-114	Unpublished	Final
HAO-000-000-000-115	Unpublished	Final
HAO-000-000-000-116	Unpublished	Final
HAO-000-000-000-117	Unpublished	Final
HAO-000-000-000-118	Unpublished	Final
HAO-000-000-000-119	Unpublished	Final
HAO-000-000-000-120	Unpublished	Final
HAO-000-000-000-121	Unpublished	Final
HAO-000-000-000-122	Unpublished	Final
HAO-000-000-000-123	Unpublished	Final
HAO-000-000-000-124	Unpublished	Final
HAO-000-000-000-125	Unpublished	Final
HAO-000-000-000-126	Unpublished	Final
HAO-000-000-000-127	Unpublished	Final
HAO-000-000-000-128	Unpublished	Final
HAO-000-000-000-129	Unpublished	Final
HAO-000-000-000-130	Unpublished	Final
HAO-000-000-000-131	Unpublished	Final
HAO-000-000-000-132	Unpublished	Final
HAO-000-000-000-133	Unpublished	Final
HAO-000-000-000-134	Unpublished	Final
HAO-000-000-000-135	Unpublished	Final
HAO-000-000-000-136	Unpublished	Final
HAO-000-000-000-137	Unpublished	Final
HAO-000-000-000-138	Unpublished	Final
HAO-000-000-000-139	Unpublished	Final
HAO-000-000-000-140	Unpublished	Final
HAO-000-000-000-141	Unpublished	Final
HAO-000-000-000-142	Unpublished	Final
HAO-000-000-000-143	Unpublished	Final
HAO-000-000-000-144	Unpublished	Final
HAO-000-000-000-145	Unpublished	Final
HAO-000-000-000-146	Unpublished	Final
HAO-000-000-000-147	Unpublished	Final
HAO-000-000-000-148	Unpublished	Final
HAO-000-000-000-149	Unpublished	Final
HAO-000-000-000-150	Unpublished	Final
HAO-000-000-000-151	Unpublished	Final
HAO-000-000-000-152	Unpublished	Final
HAO-000-000-000-153	Unpublished	Final
HAO-000-000-000-154	Unpublished	Final
HAO-000-000-000-155	Unpublished	Final
INFO-000-000-000-001	Unpublished	Final
INFO-000-000-000-002	Unpublished	Final
JKUE-000-000-000-001	Unpublished	Final
JKUE-000-000-000-002	Unpublished	Final
JKUE-000-000-000-003	Unpublished	Final
MANUSCRIPT-000-000-000-791	Unpublished	Final
MANUSCRIPT-000-000-000-793	Published	In Progress
MANUSCRIPT-000-000-000-794	Published	Unknown
MANUSCRIPT-000-000-000-795	Published	Unknown
MANUSCRIPT-000-000-000-796	Published	Unknown
MANUSCRIPT-000-000-000-797	Published	Unknown
MANUSCRIPT-000-000-000-798	Published	Unknown
MANUSCRIPT-000-000-000-799	Unpublished	Final
MANUSCRIPT-000-000-000-800	Published	Unknown
MANUSCRIPT-000-000-000-801	Published	Unknown
MANUSCRIPT-000-000-000-802	Published	Unknown
MANUSCRIPT-000-000-000-803	Published	Unknown
MANUSCRIPT-000-000-000-804	Published	Unknown
MANUSCRIPT-000-000-000-805	Published	New
MANUSCRIPT-000-000-000-806	Published	Unknown
MANUSCRIPT-000-000-000-807	Published	Unknown
MANUSCRIPT-000-000-000-808	Published	Unknown
MANUSCRIPT-000-000-000-809	Published	Unknown
MANUSCRIPT-000-000-000-811	Published	Unknown
MANUSCRIPT-000-000-000-812	Published	Unknown
MANUSCRIPT-000-000-000-813	Published	Unknown
MANUSCRIPT-000-000-000-815	Published	Unknown
MANUSCRIPT-000-000-000-817	Published	Unknown
MANUSCRIPT-000-000-000-818	Published	Unknown
MANUSCRIPT-000-000-000-819	Published	Unknown
MANUSCRIPT-000-000-000-820	Published	Unknown
MANUSCRIPT-000-000-000-821	Published	Unknown
MANUSCRIPT-000-000-000-823	Published	Unknown
MANUSCRIPT-000-000-000-824	Published	Unknown
MANUSCRIPT-000-000-000-825	Published	Unknown
MANUSCRIPT-000-000-000-826	Published	Unknown
MANUSCRIPT-000-000-000-827	Published	New
MANUSCRIPT-000-000-000-828	Unpublished	Final
MANUSCRIPT-000-000-000-830	Unpublished	Final
MLC-000-000-000-002	Unpublished	Final
MLC-000-000-000-003	Unpublished	Final
MLC-000-000-000-004	Unpublished	Final
MLC-000-000-000-005	Unpublished	Final
MLC-000-000-000-007	Unpublished	Final
MLC-000-000-000-009	Unpublished	Final
MLC-000-000-000-010	Unpublished	Final
MLC-000-000-000-011	Unpublished	Final
MLC-000-000-000-012	Unpublished	Final
MLC-000-000-000-013	Unpublished	Final
MLC-000-000-000-015	Unpublished	Final
MLC-000-000-000-016	Unpublished	Final
MLC-000-000-000-017	Unpublished	Final
MLC-000-000-000-018	Unpublished	Final
MLC-000-000-000-019	Unpublished	Final
MLC-000-000-000-020	Unpublished	Final
MLC-000-000-000-023	Unpublished	Final
MLC-000-000-000-025	Unpublished	Final
MLC-000-000-000-026	Unpublished	Final
MLC-000-000-000-027	Unpublished	Final
MLC-000-000-000-028	Unpublished	Final
MLC-000-000-000-029	Unpublished	Final
MLC-000-000-000-030	Unpublished	Final
MLC-000-000-000-031	Unpublished	Final
MLC-000-000-000-032	Unpublished	Final
MLC-000-000-000-033	Unpublished	Final
MLC-000-000-000-035	Unpublished	Final
MLC-000-000-000-050	Unpublished	Final
MLC-000-000-000-051	Unpublished	Final
MLC-000-000-000-052	Unpublished	Final
MLC-000-000-000-053	Unpublished	Final
MLC-000-000-000-054	Unpublished	Final
MLC-000-000-000-055	Unpublished	Final
MLC-000-000-000-056	Unpublished	Final
MLC-000-000-000-057	Unpublished	Final
MLC-000-000-000-058	Unpublished	Final
MLC-000-000-000-059	Unpublished	Final
MLC-000-000-000-060	Unpublished	Final
MLC-000-000-000-061	Unpublished	Final
MLC-000-000-000-062	Unpublished	Final
MLC-000-000-000-063	Unpublished	Final
MLC-000-000-000-064	Unpublished	Final
MLC-000-000-000-065	Unpublished	Final
MLC-000-000-000-066	Unpublished	Final
MLC-000-000-000-067	Unpublished	Final
MLC-000-000-000-068	Unpublished	Final
MLC-000-000-000-069	Unpublished	Final
MLC-000-000-000-071	Unpublished	Final
MLC-000-000-000-072	Unpublished	Final
MLC-000-000-000-073	Unpublished	Final
MLC-000-000-000-074	Unpublished	Final
MLC-000-000-000-075	Unpublished	Final
MLC-000-000-000-076	Unpublished	Final
MLC-000-000-000-079	Unpublished	Final
MLC-000-000-000-080	Unpublished	Final
MLC-000-000-000-081	Unpublished	Final
MLC-000-000-000-082	Unpublished	Final
MLC-000-000-000-083	Unpublished	Final
MLC-000-000-000-084	Unpublished	Final
MLC-000-000-000-085	Unpublished	Final
MLC-000-000-000-086	Unpublished	Final
MLC-000-000-000-087	Unpublished	Final
MLC-000-000-000-088	Unpublished	Final
MLC-000-000-000-089	Unpublished	Final
MLC-000-000-000-090	Unpublished	Final
MLC-000-000-000-091	Unpublished	Final
MLC-000-000-000-096	Unpublished	Final
MLC-000-000-000-097	Unpublished	Final
MLC-000-000-000-098	Unpublished	Final
MLC-000-000-000-099	Unpublished	Final
MLC-000-000-000-100	Unpublished	Holding
MLC-000-000-000-101	Unpublished	Final
HIST-000-000-000-010	Unpublished	Final
NSBF-000-000-000-001	Unpublished	Final
NSBF-000-000-000-002	Unpublished	Final
NSBF-000-000-000-003	Unpublished	Final
NSBF-000-000-000-004	Unpublished	Final
NSBF-000-000-000-006	Unpublished	Final
NSBF-000-000-000-007	Unpublished	Final
NSBF-000-000-000-008	Unpublished	Final
NSBF-000-000-000-009	Unpublished	Final
NSBF-000-000-000-010	Unpublished	Final
NSBF-000-000-000-011	Unpublished	Final
NSBF-000-000-000-012	Unpublished	Final
NSBF-000-000-000-013	Unpublished	Final
NSBF-000-000-000-014	Unpublished	Final
NSBF-000-000-000-015	Unpublished	Final
NSBF-000-000-000-016	Unpublished	Final
NSBF-000-000-000-017	Unpublished	Final
NSBF-000-000-000-018	Unpublished	Final
NSBF-000-000-000-020	Unpublished	Final
NSBF-000-000-000-021	Unpublished	Final
NSBF-000-000-000-022	Unpublished	Final
NSBF-000-000-000-023	Unpublished	Final
NSBF-000-000-000-024	Unpublished	Final
NSBF-000-000-000-025	Unpublished	Final
NSBF-000-000-000-026	Unpublished	Final
NSBF-000-000-000-027	Unpublished	Final
NSBF-000-000-000-028	Unpublished	Final
NSBF-000-000-000-030	Unpublished	Final
NSBF-000-000-000-031	Unpublished	Final
NSBF-000-000-000-032	Unpublished	Final
NSBF-000-000-000-033	Unpublished	Final
NSBF-000-000-000-034	Unpublished	Final
NSBF-000-000-000-035	Unpublished	Final
NSBF-000-000-000-036	Unpublished	Final
NSBF-000-000-000-037	Unpublished	Final
NSBF-000-000-000-038	Unpublished	Final
NSBF-000-000-000-039	Unpublished	Final
NSBF-000-000-000-040	Unpublished	Final
NSBF-000-000-000-041	Unpublished	Final
NSBF-000-000-000-042	Unpublished	Final
NSBF-000-000-000-043	Unpublished	Final
NSBF-000-000-000-044	Unpublished	Final
NSBF-000-000-000-045	Unpublished	Final
NSBF-000-000-000-046	Unpublished	Final
NSBF-000-000-000-047	Unpublished	Final
NSBF-000-000-000-048	Unpublished	Final
NSBF-000-000-000-050	Unpublished	Final
NSBF-000-000-000-051	Unpublished	Final
NSBF-000-000-000-052	Unpublished	Final
NSBF-000-000-000-053	Unpublished	Final
NSBF-000-000-000-054	Unpublished	Final
NSBF-000-000-000-055	Unpublished	Final
NSBF-000-000-000-056	Unpublished	New
NSBF-000-000-000-057	Unpublished	Final
NSBF-000-000-000-058	Unpublished	Final
NSBF-000-000-000-059	Unpublished	Final
NSBF-000-000-000-060	Unpublished	Final
NSBF-000-000-000-061	Unpublished	Final
NSBF-000-000-000-062	Unpublished	Final
NSBF-000-000-000-063	Unpublished	Final
NSBF-000-000-000-064	Unpublished	Final
NSBF-000-000-000-065	Unpublished	Final
NSBF-000-000-000-066	Unpublished	Final
NSBF-000-000-000-067	Unpublished	Final
NSBF-000-000-000-068	Unpublished	Final
NSBF-000-000-000-069	Unpublished	Final
NSBF-000-000-000-070	Unpublished	Final
NSBF-000-000-000-071	Unpublished	Final
NSBF-000-000-000-072	Unpublished	Final
NSBF-000-000-000-073	Unpublished	Final
NSBF-000-000-000-074	Unpublished	Final
NSBF-000-000-000-075	Unpublished	Final
NSBF-000-000-000-076	Unpublished	Final
NSBF-000-000-000-077	Unpublished	Final
NSBF-000-000-000-078	Unpublished	Final
NSBF-000-000-000-079	Unpublished	Final
NSBF-000-000-000-080	Unpublished	Final
NSBF-000-000-000-081	Unpublished	Final
NSBF-000-000-000-082	Unpublished	Final
NSBF-000-000-000-083	Unpublished	Final
NSBF-000-000-000-084	Unpublished	Final
NSBF-000-000-000-085	Unpublished	Final
NSBF-000-000-000-086	Unpublished	Final
NSBF-000-000-000-087	Unpublished	Final
NSBF-000-000-000-088	Unpublished	Final
NSBF-000-000-000-089	Unpublished	Final
NSBF-000-000-000-090	Unpublished	Final
NSBF-000-000-000-091	Unpublished	Final
NSBF-000-000-000-092	Unpublished	Final
NSBF-000-000-000-093	Unpublished	Final
NSBF-000-000-000-094	Unpublished	Final
NSBF-000-000-000-095	Unpublished	Final
NSBF-000-000-000-096	Unpublished	Final
NSBF-000-000-000-097	Unpublished	Final
NSBF-000-000-000-098	Unpublished	Final
NSBF-000-000-000-099	Unpublished	Final
NSBF-000-000-000-100	Unpublished	Final
NSBF-000-000-000-101	Unpublished	Final
NSBF-000-000-000-102	Unpublished	Final
NSBF-000-000-000-103	Unpublished	Final
NSBF-000-000-000-104	Unpublished	Final
NSBF-000-000-000-105	Unpublished	Final
NSBF-000-000-000-106	Unpublished	Final
NSBF-000-000-000-107	Unpublished	Final
NSBF-000-000-000-108	Unpublished	Final
NSBF-000-000-000-109	Unpublished	Final
NSBF-000-000-000-110	Unpublished	Final
NSBF-000-000-000-111	Unpublished	Final
NSBF-000-000-000-112	Unpublished	Final
NSBF-000-000-000-113	Unpublished	Final
NSBF-000-000-000-114	Unpublished	Final
NSBF-000-000-000-115	Unpublished	Final
NSBF-000-000-000-116	Unpublished	Final
NSBF-000-000-000-117	Unpublished	Final
NSBF-000-000-000-118	Unpublished	Final
NSBF-000-000-000-119	Unpublished	Final
NSBF-000-000-000-120	Unpublished	Final
NSBF-000-000-000-121	Unpublished	Final
NSBF-000-000-000-122	Unpublished	Final
NSBF-000-000-000-161	Unpublished	Final
NHRE-000-000-000-002	Unpublished	Final
NHRE-000-000-000-003	Unpublished	Final
NHRE-000-000-000-004	Unpublished	Final
