recId	dcsstatus	resourceType	Fiscal	Published	Accepted	Created	Digitized	In press	Modified	Reviewer assigned	Submitted
OSGC-000-000-000-858	Final		2010	2010-02-18							
OSGC-000-000-000-095	Final		2010	2010-02-15							
OSGC-000-000-000-360	Final		2009	2009-09-17							
OSGC-000-000-000-503	Final		2010	2009-10-13							
OSGC-000-000-000-742	Final		2020	2010-06-01							
OSGC-000-000-000-150	Final		2010	2009-12-31							
OSGC-000-000-000-118	Final		2010	2009-12-01							
OSGC-000-000-000-838	Final		2010					2010-09-22			
OSGC-000-000-000-962	Final		2010	2010-10-29							
OSGC-000-000-000-129	Final		2010	2009-12-01							
OSGC-000-000-000-094	Final		2010	2010-09							
OSGC-000-000-000-865	Final		2010	2010-05-27							
OSGC-000-000-000-110	Final		2010	2009-11-17							
OSGC-000-000-000-839	Final		2010	2009-12-01							
OSGC-000-000-000-808	Final		2010	2010-07-27							
OSGC-000-000-000-618	Final		2010	2010-09-01							
OSGC-000-000-000-040	Final		2008	2007-12-21							
OSGC-000-000-000-912	Final		2010	2010-09-25							
OSGC-000-000-000-696	Final		2010	2010-10-27							
OSGC-000-000-000-960	Final		2010	2010-04-13							
OSGC-000-000-000-812	Final		2010	2010-10-28							
OSGC-000-000-000-501	Final		2010	2010-09-01							
OSGC-000-000-000-544	Final		2010	2009-12-01							
OSGC-000-000-000-064	Final		2009	2008-10							
OSGC-000-000-001-242	Final		2010	2009							
OSGC-000-000-000-010	Final		2009	2009-05-01							
OSGC-000-000-000-892	Final		2010	2010-03-05							
OSGC-000-000-000-966	Final		2010	2010-10-29							
OSGC-000-000-000-469	Final		2011	2010-10-25							
OSGC-000-000-000-320	Final		2010	2009-12-01							
OSGC-000-000-000-041	Final		2010	2009-10							
OSGC-000-000-000-949	Final		2010	2010-06-29							
OSGC-000-000-000-880	Final		2010	2009-12-01							
OSGC-000-000-000-612	Final		2010	2010-07-20							
OSGC-000-000-000-824	Final		2010	2009-10-01							
OSGC-000-000-000-366	Final		2010	2009-12-01							
OSGC-000-000-000-039	Final		2008	2008-02-27							
OSGC-000-000-000-569	Final		2010	2010-08-01							
OSGC-000-000-000-318	Final		2011	2010-10-08							
OSGC-000-000-000-263	Final		2011	2010-10-09							
OSGC-000-000-000-305	Final		2010	2009-10-01							
OSGC-000-000-000-957	Final		2010	2010-08-05							
OSGC-000-000-000-189	Final		2010	2010-01							
OSGC-000-000-000-779	Final		2010	2010-06-01							
OSGC-000-000-000-295	Final		2010	2010-09-14							
OSGC-000-000-000-014	Final		2009	2009, 2008-12							
OSGC-000-000-000-467	Final		2009	2008-10-28							
OSGC-000-000-000-859	Final		2010	2010							
