timestamp	recId	status
02/05/2008 08:59:18 AM	DLESE-000-000-002-245	_|-final-dcc-|_
02/05/2008 09:10:52 AM	DLESE-000-000-007-368	_|-final-dcc-|_
02/05/2008 09:29:59 AM	DLESE-000-000-007-028	_|-final-dcc-|_
02/05/2008 09:30:07 AM	DLESE-000-000-007-028	Holding
02/05/2008 09:34:27 AM	DLESE-000-000-008-839	_|-final-dcc-|_
02/05/2008 09:34:33 AM	DLESE-000-000-008-839	Holding
02/05/2008 09:35:16 AM	DLESE-000-000-008-937	Holding
02/05/2008 09:38:45 AM	DLESE-000-000-003-264	_|-final-dcc-|_
02/05/2008 09:40:12 AM	DLESE-000-000-003-802	_|-final-dcc-|_
02/05/2008 10:03:58 AM	DLESE-000-000-000-415	_|-final-dcc-|_
02/05/2008 10:20:39 AM	DLESE-000-000-000-426	_|-final-dcc-|_
02/05/2008 10:24:27 AM	DLESE-000-000-000-428	_|-final-dcc-|_
02/05/2008 10:29:29 AM	DLESE-000-000-000-796	_|-final-dcc-|_
02/05/2008 10:42:55 AM	DLESE-000-000-000-806	_|-final-dcc-|_
02/05/2008 10:56:20 AM	DLESE-000-000-000-807	_|-final-dcc-|_
02/05/2008 11:09:36 AM	DLESE-000-000-001-139	_|-final-dcc-|_
02/05/2008 11:15:37 AM	DLESE-000-000-001-140	_|-final-dcc-|_
02/05/2008 11:26:59 AM	DLESE-000-000-001-141	_|-final-dcc-|_
02/05/2008 11:27:24 AM	DLESE-000-000-001-141	_|-final-dcc-|_
02/05/2008 11:33:45 AM	DLESE-000-000-001-142	_|-final-dcc-|_
02/05/2008 11:41:59 AM	DLESE-000-000-001-144	_|-final-dcc-|_
02/05/2008 11:49:25 AM	DLESE-000-000-001-147	_|-final-dcc-|_
02/05/2008 11:55:10 AM	DLESE-000-000-001-157	_|-final-dcc-|_
02/05/2008 01:01:11 PM	DLESE-000-000-002-245	_|-final-dcc-|_
02/05/2008 02:15:27 PM	DLESE-000-000-010-282	_|-final-dcc-|_
02/05/2008 03:15:28 PM	DLESE-000-000-010-283	In Progress
02/05/2008 03:34:49 PM	DLESE-000-000-010-283	_|-final-dcc-|_
02/06/2008 10:08:56 AM	NEWS-OPPS-000-000-002-349	_|-final-nocc-|_
02/06/2008 10:18:41 AM	NEWS-OPPS-000-000-002-305	Deaccessioned
02/06/2008 10:19:57 AM	NEWS-OPPS-000-000-002-330	Deaccessioned
02/06/2008 10:20:55 AM	NEWS-OPPS-000-000-002-165	Deaccessioned
02/06/2008 10:22:20 AM	NEWS-OPPS-000-000-002-335	Deaccessioned
02/06/2008 10:24:22 AM	NEWS-OPPS-000-000-002-320	Deaccessioned
02/06/2008 10:25:10 AM	NEWS-OPPS-000-000-002-309	Deaccessioned
02/06/2008 11:30:44 AM	NEWS-OPPS-000-000-002-350	_|-final-nocc-|_
02/06/2008 11:45:16 AM	TBOXR-000-000-000-127	_|-final-tboxres-|_
02/06/2008 11:46:26 AM	TBOXR-000-000-000-126	_|-final-tboxres-|_
02/06/2008 12:03:06 PM	TBOXR-000-000-000-128	_|-final-tboxres-|_
02/06/2008 12:59:08 PM	NEWS-OPPS-000-000-002-351	_|-final-nocc-|_
02/06/2008 02:50:53 PM	TBOXR-000-000-000-111	_|-final-tboxres-|_
02/06/2008 03:13:19 PM	TBOXR-000-000-000-126	Deaccessioned
02/06/2008 03:14:34 PM	TBOXR-000-000-000-127	Deaccessioned
02/06/2008 03:15:03 PM	TBOXR-000-000-000-128	Deaccessioned
02/06/2008 03:15:34 PM	TBOXR-000-000-000-129	Deaccessioned
02/06/2008 03:39:46 PM	NASA-Edmall-1023	_|-final-edmall-|_
02/06/2008 03:47:53 PM	DLESE-000-000-001-049	_|-final-dcc-|_
02/07/2008 08:16:36 AM	DLESE-000-000-000-444	_|-final-dcc-|_
02/07/2008 08:19:52 AM	DLESE-000-000-000-612	_|-final-dcc-|_
