Value	UI Label	Place Name
MN	US - MINNESOTA	MINNESOTA
MO	US - MISSOURI	MISSOURI
MOR	MX - Morelos	Morelos
MP	US - NORTHERN MARIANA ISLANDS	NORTHERN MARIANA ISLANDS
MS	US - MISSISSIPPI	MISSISSIPPI
MT	US - MONTANA	MONTANA
Maca	CN - Macau	Macau
Madh	IN - Madhya Pradesh	Madhya Pradesh
Madu	IN - Madurai District	Madurai District
Maha	IN - Maharashtra	Maharashtra
Mahe	IN - Mahesena District	Mahesena District
Mala	IN - Malappuram District	Malappuram District
Mana	NZ - Manawatu-Wanganui	Manawatu
Mand	IN - Mandya District	Mandya District
Mani	IN - Manipur	Manipur
Mari	PH - Marinduque	Marinduque
Marl	NZ - Marlborough	Marlborough
Masb	PH - Masbate	Masbate
Math	IN - Mathura District	Mathura District
Mayo	IE - Mayo	Mayo
Meat	IE - Meath	Meath
Meda	IN - Medak District	Medak District
Medi	IN - Medinipur District	Medinipur District
Meer	IN - Meerut District	Meerut District
Megh	IN - Meghalaya	Meghalaya
Mela	MY - Melaka	Melaka
Mers	GB - Merseyside	Merseyside
Metr	PH - Metropolitan Manila Area	Metropolitan Manila Area
Mid	GB - Mid Glamorgan	Mid Glamorgan
Mie	JP - Mie	Mie
Mind	PH - Mindoro Oriental	Mindoro Oriental
Misa	PH - Misamis Oriental	Misamis Oriental
Miya	JP - Miyazaki	Miyazaki
Mizo	IN - Mizoram	Mizoram
Mona	IE - Monaghan	Monaghan
Mora	IN - Moradabad District	Moradabad District
NA	IT - Napoli	Napoli
NAY	MX - Nayarit	Nayarit
NB	NL - Noord-Brabant	Noord
NC	US - NORTH CAROLINA	NORTH CAROLINA
ND	US - NORTH DAKOTA	NORTH DAKOTA
NE	US - NEBRASKA	NEBRASKA
NH	US - NEW HAMPSHIRE	NEW HAMPSHIRE
NJ	US - NEW JERSEY	NEW JERSEY
NL	MX - Nuevo Leon	Nuevo Leon
NM	US - NEW MEXICO	NEW MEXICO
NO	IT - Novara	Novara
NS	CA - Nova Scotia	Nova Scotia
NSW	AU - New South Wales	New South Wales
NT	CA - Northwest Territories	Northwest Territories
NU	IT - Nuoro	Nuoro
NV	US - NEVADA	NEVADA
NY	US - NEW YORK	NEW YORK
Naga	JP - Nagasaki	Nagasaki
Nagp	IN - Nagpur District	Nagpur District
Nain	IN - Nainital District	Nainital District
Nara	JP - Nara	Nara
Nash	IN - Nashik District	Nashik District
Nege	MY - Negeri Sembilan	Negeri Sembilan
Negr	PH - Negros Oriental	Negros Oriental
Nell	IN - Nellore District	Nellore District
Nels	NZ - Nelson	Nelson
Nied	AT - Niederoesterreich	Niederoesterreich
Niig	JP - Niigata	Niigata
Nilg	IN - Nilgiri District	Nilgiri District
Ning	CN - Ningxia	Ningxia
Norf	GB - Norfolk	Norfolk
Nort	PH - Northern Samar	Northern Samar
Nott	GB - Nottinghamshire	Nottinghamshire
Nuev	PH - Nueva Vizcaya	Nueva Vizcaya
OAX	MX - Oaxaca	Oaxaca
OH	US - OHIO	OHIO
OK	US - OKLAHOMA	OKLAHOMA
ON	CA - Ontario	Ontario
OR	US - OREGON	OREGON
OV	NL - Overijssel	Overijssel
