pub_date,title,authors,doi,ark,journal,collaboration,num_yellowstone_authors,yellowstone_authors,sum_author_charges,other_ncar_authors
2012-06-01,Moisture transport into midlatitudes ahead of recurving tropical cyclones and its relevance in two predecessor rain events,"Schumacher, R.; Galarneau, T.",10.1175/MWR-D-11-00307.1,http://n2t.net/ark:/85065/d7bc405s,Monthly Weather Review,UCAR and University,1,"Galarneau, T.",176351.4,
2012-01-01,Effects of mesoscale surface thermal heterogeneity on low-level horizontal wind speeds,"Kang, S.; Lenschow, D.; Sullivan, P.",10.1007/s10546-011-9691-4,http://n2t.net/ark:/85065/d76m37f2,Boundary-Layer Meteorology,UCAR and University,1,"Sullivan, P.",24930550.2,"Lenschow, D."
2012-06-20,Waves as the source of apparent twisting motions in sunspot penumbrae,"Bharti, L.; Cameron, R.; Rempel, M.; et al",10.1088/0004-637X/752/2/128,http://n2t.net/ark:/85065/d7pn968c,The Astrophysical Journal,"UCAR, University and Other",1,"Rempel, M.",8667097.2,
2012-02-23,Assessing possible dynamical effects of condensate in high resolution climate simulations,"Bacmeister, J.; Lauritzen, P.; Dai, A.; et al",10.1029/2011GL050533,http://n2t.net/ark:/85065/d7f47prb,Geophysical Research Letters,UCAR only,4,"Bacmeister, J.; Lauritzen, P.; Dai, A.; Truesdale, J.",8749159.1,
2012-09-15,"Spatial distribution of pCO₂, ΔO₂/Ar and dimethylsulfide (DMS) in polynya waters and the sea ice zone of the Amundsen Sea, Antarctica","Tortell, P.; Long, M.; Payne, C.; et al",10.1016/j.dsr2.2012.03.010,http://n2t.net/ark:/85065/d75m66b4,Deep-Sea Research Part II: Topical Studies in Oceanography,"UCAR, University and Other",1,"Long, M.",16015693.2,
2012-06-01,How well are we measuring snow: The NOAA/FAA/NCAR Winter Precipitation Test Bed,"Rasmussen, R.; Baker, B.; Kochendorfer, J.; et al",10.1175/BAMS-D-11-00052.1,http://n2t.net/ark:/85065/d7x63nmn,Bulletin of the American Meteorological Society,UCAR and Other,3,"Kucera, P.; Gochis, D.; Gutmann, E.",2733044.4,"Rasmussen, R.; Landolt, S.; Black, J.; Theriault, J."
2012-06-01,The Weather Research and Forecasting Model's Community Variational/Ensemble Data Assimilation System: WRFDA,"Barker, D.; Huang, X.; Liu, Z.; et al",10.1175/BAMS-D-11-00167.1,http://n2t.net/ark:/85065/d7np252n,Bulletin of the American Meteorological Society,"UCAR, University and Other",9,"Barker, D.; Huang, X.; Liu, Z.; Auligne, T.; Zhang, X.; Bourgeois, A.; Huang, W.; Lin, H.; Rizvi, S.",2784918.3,"Guo, Y.; Zhang, X."
2011-12-31,Reversed two-cell convection in the Northern and Southern hemispheres during northward interplanetary magnetic field,"Lu, G.; Li, W.; Raeder, J.; et al",10.1029/2011JA017043,http://n2t.net/ark:/85065/d74q7vmp,Journal of Geophysical Research-Space Physics,"UCAR, University and Other",1,"Lu, G.",36472.7,
2011-12-31,"CEDAR electrodynamics thermosphere ionosphere (ETI) challenge for systematic assessment of ionosphere/thermosphere models 1: NmF2, hmF2, and Vertical Drift Using Ground Based Observations","Shim, J.; Kuznetsova, M.; Rastätter, L.; et al",10.1029/2011SW000727,http://n2t.net/ark:/85065/d7w66mdc,Space Weather,"UCAR, University and Other",2,"Emery, B.; Foster, B.",215918.8,
2011-12-03,The response of the coupled magnetosphere-ionosphere-thermosphere system to a 25% reduction in the dipole moment of the Earth's magnetic field,"Cnossen, I.; Richmond, A.; Wiltberger, M.; et al",10.1029/2011JA017063,http://n2t.net/ark:/85065/d7mp53wd,Journal of Geophysical Research-Space Physics,UCAR only,4,"Cnossen, I.; Richmond, A.; Wiltberger, M.; Schmitt, P.",2579711.6,"Wang, W."
