Conference Proceedings																			
Pub. #	Author Last	Author First	Author Middle 1	Author Middle 2	Institutional Affiliation	"Collaboration (UCAR Only, UCAR and University, UCAR and Other, UCAR, University and Other "	Publication Year  	Publication Type  	Publication Title  	City  	State  	Country  	Fiscal Year  	Published via Open Access?					
Num	Author Last	Author First	Author Middle 1	Author Middle 2	Institutional Affiliation	Collaboration	Publication Year  	Publication Type  	Publication Title  	City  	State  	Country  	Fiscal Year  	Open Access	Volume	Page Start	Page End	DOI	Notes
20	Weckwerth 	Tammy	M		"UCAR, NCAR, EOL, RSF"	"UCAR, University and Other"	2010	Proceeding-Article	Convection initiation in Convective and Orographically-induced Precipitation Study: Radar climatology and 6 August 2007 case study	Sibiu 		ROU 	2010	No					
	Bennett	Lindsay	J		University of Leeds	"UCAR, University and Other"	2010	Proceeding-Article	Convection initiation in Convective and Orographically-induced Precipitation Study: Radar climatology and 6 August 2007 case study	Sibiu 		ROU 	2010	No					
	Wilson	James	W		"UCAR, NCAR, RAL, HAP"	"UCAR, University and Other"	2010	Proceeding-Article	Convection initiation in Convective and Orographically-induced Precipitation Study: Radar climatology and 6 August 2007 case study	Sibiu 		ROU 	2010	No					
	Van Baelen	Joel			Laboratoire de Meteorologie Physique Observatoire de Physique du Globe de Clermont-Ferrand	"UCAR, University and Other"	2010	Proceeding-Article	Convection initiation in Convective and Orographically-induced Precipitation Study: Radar climatology and 6 August 2007 case study	Sibiu 		ROU 	2010	No					
	Hagen	Martin			"Institut für Physik der Atmosphäre, DLR "	"UCAR, University and Other"	2010	Proceeding-Article	Convection initiation in Convective and Orographically-induced Precipitation Study: Radar climatology and 6 August 2007 case study	Sibiu 		ROU 	2010	No					
	Emerson	Tracy	J		"UCAR, NCAR, EOL, RSF"	"UCAR, University and Other"	2010	Proceeding-Article	Convection initiation in Convective and Orographically-induced Precipitation Study: Radar climatology and 6 August 2007 case study	Sibiu 		ROU 	2010	No					
	Grebe	L				"UCAR, University and Other"	2010	Proceeding-Article	Convection initiation in Convective and Orographically-induced Precipitation Study: Radar climatology and 6 August 2007 case study	Sibiu 		ROU 	2010	No					
21	Hubbert 	John	C		"UCAR, NCAR, EOL, RSF"	UCAR Only	2010	Proceeding-Article	"Cross-coupling, antenna errors and simultaneous horizontal and vertical polarization transmit data "	Williamsburg 	VA 	USA 	2010	No					
	Ellis	Scott	M		"UCAR, NCAR, EOL, RSF"	UCAR Only	2010	Proceeding-Article	"Cross-coupling, antenna errors and simultaneous horizontal and vertical polarization transmit data "	Williamsburg 	VA 	USA 	2010	No					
	Meymaris 	Gregory			"UCAR, NCAR, RAL, AAP"	UCAR Only	2010	Proceeding-Article	"Cross-coupling, antenna errors and simultaneous horizontal and vertical polarization transmit data "	Williamsburg 	VA 	USA 	2010	No					
	Dixon	Michael 			"UCAR, NCAR, RAL"	UCAR Only	2010	Proceeding-Article	"Cross-coupling, antenna errors and simultaneous horizontal and vertical polarization transmit data "	Williamsburg 	VA 	USA 	2010	No					
22	Brown 	William			"UCAR, NCAR, EOL, ISF"	UCAR and University	2009	Proceeding-Article	MAPR wind profiler observations of tropical storms for the Clouds and Precipitation Study (CPS) Project 	Delft 		NLD 	2010	No					
	Albrecht	Bruce			University of Miami	UCAR and University	2009	Proceeding-Article	MAPR wind profiler observations of tropical storms for the Clouds and Precipitation Study (CPS) Project 	Delft 		NLD 	2010	No					
	Cohn	Stephen			"UCAR, NCAR, EOL, ISF"	UCAR and University	2009	Proceeding-Article	MAPR wind profiler observations of tropical storms for the Clouds and Precipitation Study (CPS) Project 	Delft 		NLD 	2010	No					
	Donaher	Shaunna			University of Miami	UCAR and University	2009	Proceeding-Article	MAPR wind profiler observations of tropical storms for the Clouds and Precipitation Study (CPS) Project 	Delft 		NLD 	2010	No					
23	Brown 	William			"UCAR, NCAR, EOL, ISF"	UCAR and University	2009	Proceeding-Article	The atmospheric response to the north atlantic gulf Stream observed by a ship-board wind profiler 	Delft 		NLD 	2010	No					
	Edson	James			University of Connecticut	UCAR and University	2009	Proceeding-Article	The atmospheric response to the north atlantic gulf Stream observed by a ship-board wind profiler 	Delft 		NLD 	2010	No					
24	Nguyen	Khuong	X		Clemson University	UCAR and University	2010	Proceeding-Article	Investigation of subgrid-scale turbulence in the atmospheric surface layer using Advection Horizontal Array Turbulence Study field data 	Keystone 	CO 	USA 	2010	No					
	Oncley	Steve	P		"UCAR, NCAR, EOL, ISF"	UCAR and University	2010	Proceeding-Article	Investigation of subgrid-scale turbulence in the atmospheric surface layer using Advection Horizontal Array Turbulence Study field data 	Keystone 	CO 	USA 	2010	No					
	Horst	Thomas	W		"UCAR, NCAR, EOL, ISF"	UCAR and University	2010	Proceeding-Article	Investigation of subgrid-scale turbulence in the atmospheric surface layer using Advection Horizontal Array Turbulence Study field data 	Keystone 	CO 	USA 	2010	No					
	Sullivan	Peter	P		"UCAR, NCAR, NESL, MMM"	UCAR and University	2010	Proceeding-Article	Investigation of subgrid-scale turbulence in the atmospheric surface layer using Advection Horizontal Array Turbulence Study field data 	Keystone 	CO 	USA 	2010	No					
	Tong	C			Clemson University	UCAR and University	2010	Proceeding-Article	Investigation of subgrid-scale turbulence in the atmospheric surface layer using Advection Horizontal Array Turbulence Study field data 	Keystone 	CO 	USA 	2010	No					
25	Wang	Junhong			"UCAR, NCAR, EOL, ISF"	UCAR Only	2009	Proceeding-Article	Upper-air observations from dropsondes over Pacific Ocean from THORPEX Pacific Asian Regional Campaign	Delft 		NLD 	2010	No					
	Young	Kate			"UCAR, NCAR, EOL, ISF"	UCAR Only	2009	Proceeding-Article	Upper-air observations from dropsondes over Pacific Ocean from THORPEX Pacific Asian Regional Campaign	Delft 		NLD 	2010	No					
	Zhang	Liangying			"UCAR, NCAR, EOL, ISF"	UCAR Only	2009	Proceeding-Article	Upper-air observations from dropsondes over Pacific Ocean from THORPEX Pacific Asian Regional Campaign	Delft 		NLD 	2010	No					
26	Zhao	Kun			Nanjing University	UCAR and University	2009	Proceeding-Article	Single doppler radar observation of the concentric eyewall in Typhoon Saomai (2006) near landfall	Williamsburg 	VA 	USA 	2010	No					
	Lee	Wen-Chau			"UCAR, NCAR, EOL, RSF"	UCAR and University	2009	Proceeding-Article	Single doppler radar observation of the concentric eyewall in Typhoon Saomai (2006) near landfall	Williamsburg 	VA 	USA 	2010	No					
	Jou	B	J	D		UCAR and University	2009	Proceeding-Article	Single doppler radar observation of the concentric eyewall in Typhoon Saomai (2006) near landfall	Williamsburg 	VA 	USA 	2010	No					
27	Lindseth	Bradley			"UCAR, NCAR, EOL, ISF"	"UCAR, University and Other"	2009	Proceeding-Article	"A new 449 MHz wind profiler radar: evaluation of antennas, amplifiers and capabilities "	Williamsburg 	VA 	USA 	2010	No					
	Brown 	William	O	J	"UCAR, NCAR, EOL, ISF"	"UCAR, University and Other"	2009	Proceeding-Article	"A new 449 MHz wind profiler radar: evaluation of antennas, amplifiers and capabilities "	Williamsburg 	VA 	USA 	2010	No					
	Cohn	Stephen	A		"UCAR, NCAR, EOL, ISF"	"UCAR, University and Other"	2009	Proceeding-Article	"A new 449 MHz wind profiler radar: evaluation of antennas, amplifiers and capabilities "	Williamsburg 	VA 	USA 	2010	No					
	Jordan	James	R		National Oceanic and Atmospheric Administration	"UCAR, University and Other"	2009	Proceeding-Article	"A new 449 MHz wind profiler radar: evaluation of antennas, amplifiers and capabilities "	Williamsburg 	VA 	USA 	2010	No					
	Law	D				"UCAR, University and Other"	2009	Proceeding-Article	"A new 449 MHz wind profiler radar: evaluation of antennas, amplifiers and capabilities "	Williamsburg 	VA 	USA 	2010	No					
	Hock	Terrence			"UCAR, NCAR, EOL, ISF"	"UCAR, University and Other"	2009	Proceeding-Article	"A new 449 MHz wind profiler radar: evaluation of antennas, amplifiers and capabilities "	Williamsburg 	VA 	USA 	2010	No					
28	Oncley 	Steven			"UCAR, NCAR, EOL, ISF"	UCAR and University	2010	Proceeding-Article	Observations of pressure perturbations within heat devils 	Atlanta 	GA 	USA 	2010	No					
	Hartogensis	O	K		Wageningen University 	UCAR and University	2010	Proceeding-Article	Observations of pressure perturbations within heat devils 	Atlanta 	GA 	USA 	2010	No					
29	Baeuerle	Brigitte	G		"UCAR, NCAR, EOL, FPS"	UCAR Only	2009	Proceeding-Article	Requesting use of National Science Foundation facilities for education 	San Francisco 	CA 	USA 	2010	No					
	Meitín	José	G		"UCAR, NCAR, EOL, FPS"	UCAR Only	2009	Proceeding-Article	Requesting use of National Science Foundation facilities for education 	San Francisco 	CA 	USA 	2010	No					
30	Lindseth	Brad 			"UCAR, NCAR, EOL, ISF"	"UCAR, University and Other"	2010	Proceeding-Article	High power amplifier design for a new 449 MHz wind profiler radar 	Boulder 	CO 	USA 	2010	No					
	Brown 	William			"UCAR, NCAR, EOL, ISF"	"UCAR, University and Other"	2010	Proceeding-Article	High power amplifier design for a new 449 MHz wind profiler radar 	Boulder 	CO 	USA 	2010	No					
	Cohn	Steve	A		"UCAR, NCAR, EOL, ISF"	"UCAR, University and Other"	2010	Proceeding-Article	High power amplifier design for a new 449 MHz wind profiler radar 	Boulder 	CO 	USA 	2010	No					
	Jordan	James	R		National Oceanic and Atmospheric Administration	"UCAR, University and Other"	2010	Proceeding-Article	High power amplifier design for a new 449 MHz wind profiler radar 	Boulder 	CO 	USA 	2010	No					
	Hock	Terry			"UCAR, NCAR, EOL, ISF"	"UCAR, University and Other"	2010	Proceeding-Article	High power amplifier design for a new 449 MHz wind profiler radar 	Boulder 	CO 	USA 	2010	No					
	Lopez	Nestor				"UCAR, University and Other"	2010	Proceeding-Article	High power amplifier design for a new 449 MHz wind profiler radar 	Boulder 	CO 	USA 	2010	No					
