uhtbin_url	citable_url
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000105	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-104
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000106	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-106
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000107	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-106
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000109	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-109
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000110	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-109
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000111	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-109
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000112	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-106
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000113	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-114
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000114	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-114
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000115	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-114
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000116	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-117
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000117	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-117
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000118	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-117
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000119	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-117
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000120	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-117
http://www.library.ucar.edu/uhtbin/hyperion-image/DR000121	http://nldr.library.ucar.edu/repository/technotes/TECH-NOTE-000-000-000-117
